"filename", "language", "JSON", "LaTeX", "Dotenv", "Properties", "Batch", "XML", "log", "YAML", "pip requirements", "Python", "Docker", "comment", "blank", "total"
"c:\Users\Mircea\AndroidStudioProjects\Axon\mobile\src\main\res\mipmap-anydpi\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Mircea\AndroidStudioProjects\Axon\mobile\src\main\res\values-night\themes.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 0, 7
"c:\Users\Mircea\AndroidStudioProjects\Axon\mobile\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Mircea\AndroidStudioProjects\Axon\mobile\src\main\res\values\themes.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 1, 9
"c:\Users\Mircea\AndroidStudioProjects\Axon\mobile\src\main\res\xml\backup_rules.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 0, 13
"c:\Users\Mircea\AndroidStudioProjects\Axon\mobile\src\main\res\xml\data_extraction_rules.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 10, 0, 19
"c:\Users\Mircea\AndroidStudioProjects\Axon\movement\LDLJ-A.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 55, 47, 235
"c:\Users\Mircea\AndroidStudioProjects\Axon\movement\SPARC.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 106, 59, 320
"c:\Users\Mircea\AndroidStudioProjects\Axon\movement\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Mircea\AndroidStudioProjects\Axon\wear\lint.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 0, 12
"c:\Users\Mircea\AndroidStudioProjects\Axon\wear\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 4, 9, 77
"c:\Users\Mircea\AndroidStudioProjects\Axon\wear\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 1, 171
"c:\Users\Mircea\AndroidStudioProjects\Axon\wear\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\Mircea\AndroidStudioProjects\Axon\wear\src\main\res\drawable\splash_icon.xml", "XML", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\Mircea\AndroidStudioProjects\Axon\wear\src\main\res\mipmap-anydpi\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Mircea\AndroidStudioProjects\Axon\wear\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 0, 9
"c:\Users\Mircea\AndroidStudioProjects\Axon\wear\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"Total", "-", 15, 360, 18, 34, 41, 935, 329, 167, 33, 971, 28, 444, 590, 3965
